Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
F15E11.14	0.822124717478113	0.8417415614700334	0.9995692703162754	0.04583988042978147	false
Y41D4B.16	N/A	N/A	N/A	N/A	false
F56F3.5	0.9428068914332012	0.9565911592081712	0.9995692703162754	0.022055862645202092	false
F46C3.1	N/A	N/A	N/A	N/A	false
Y105E8A.4	0.7712366830059482	0.9897752418158365	0.9995692703162754	0.11704841546366096	false
F56F3.1	1.0	N/A	N/A	N/A	false
Y41D4B.10	N/A	N/A	N/A	N/A	false
F19F10.9	N/A	N/A	N/A	N/A	false
C36E6.5	0.9245433867978404	0.5065749655259197	0.9995692703162754	0.00968639683264908	false
Y80D3A.2d	0.7571990496051815	N/A	N/A	N/A	false
B0334.15	N/A	N/A	N/A	N/A	false
C36E6.3	0.9237224383842745	0.6723573516649827	0.9995692703162754	0.008862474312498017	false
F19F10.3	0.8353114772063059	0.46661449714449266	0.9995692703162754	0.02864834654879668	false
Y80D3A.2b	N/A	N/A	N/A	N/A	false
Y80D3A.2a	0.8262866447146191	0.762274261933651	0.9995692703162754	0.05921558330714305	false
K10C3.6a	N/A	N/A	N/A	N/A	false
C01G8.9c	N/A	N/A	N/A	N/A	false
E04A4.8	0.937123992217979	0.8399532610355724	0.9995692703162754	0.015455352258584723	false
E04A4.7	0.9089076446763461	0.3200291160129013	0.9995692703162754	3.064962127102321E-4	false
M142.8a	N/A	N/A	N/A	N/A	false
ZK637.5	0.7419461459458434	0.9991294496719015	0.9995692703162754	0.1436733970667448	false
C02G6.2	0.6966267210499002	N/A	N/A	0.11182946473041463	false
C02G6.1	0.7910616824488957	0.9965349679557975	0.9995692703162754	0.12107157249795622	false
C05E4.3	0.9302656278936907	0.1914237222981199	0.9995692703162754	0.07496178512389233	false
ZK637.2	N/A	N/A	N/A	N/A	false
C05E4.1	0.11633479330072971	N/A	N/A	N/A	false
F35C8.6	0.8900980867257223	0.7015674474702138	0.9995692703162754	0.0108852029077617	false
M03B6.2	0.7286968500694643	N/A	N/A	0.23939484049927712	true
D1053.4	N/A	N/A	N/A	N/A	false
Y43F8B.1d	0.7780969728182249	0.7445722826999556	0.9995692703162754	0.06006008440329746	false
Y43F8B.1c	0.7542769877585623	N/A	N/A	0.06785946833768224	false
R10E11.8	N/A	N/A	N/A	N/A	false
Y43F8B.1b	0.7314693580877761	N/A	N/A	0.12175246359555929	false
D1053.1	0.7179387887085332	0.04842179940537956	0.4891406103725894	0.10620095824562217	false
F38A6.5	N/A	N/A	N/A	N/A	false
K07D4.3	0.8671100359975851	0.24077477886231266	0.9995692703162754	0.007170149943033275	false
Y43F8B.1a	0.7378278834215903	N/A	N/A	0.11443531000764998	false
F45D11.16	0.853218215377643	0.49773454029497843	0.9995692703162754	0.014245353723060343	false
R10E11.2	0.795937074481237	0.07169032171168778	0.7674447507569937	0.04964282390854447	false
K10C3.5b	N/A	N/A	N/A	N/A	false
F45D11.15	0.8532628871763924	0.49773454029497843	0.9995692703162754	0.014238249048551622	false
F58G6.1	N/A	N/A	N/A	N/A	false
K10C3.5a	0.38571428571428573	N/A	N/A	1.0740740740740742	true
F45D11.14	0.8572962136364454	0.3170457294704577	0.9995692703162754	0.014846475490639308	false
Y62E10A.12	0.8481010373346752	0.016004899665536698	0.07662062707934267	0.06443925971913736	false
Y37E11C.1	0.5816364920881729	N/A	N/A	0.5357687719313668	true
Y62E10A.10	N/A	N/A	N/A	N/A	false
R05F9.8	0.9058700731880284	0.7045555996797541	0.9995692703162754	0.02006126204799519	false
H15N14.2b	0.8758941308444689	0.44057769655824575	0.9995692703162754	0.010539329814748902	false
R05F9.6	0.909971258677143	0.9389882697501879	0.9995692703162754	0.02503148845883611	false
Y38E10A.22b	N/A	N/A	N/A	N/A	false
M79.1a	N/A	N/A	N/A	N/A	false
R05F9.3	0.8585821674721097	0.3310516675496257	0.9995692703162754	0.006674149344441535	false
T25D3.2	N/A	N/A	N/A	N/A	false
Y38E10A.22a	N/A	N/A	N/A	N/A	false
C09G12.9	N/A	N/A	N/A	N/A	false
F11H8.1	N/A	N/A	N/A	N/A	false
C35D10.16	0.6584177340521656	N/A	N/A	0.0896612277949003	false
F55D10.2	0.8919608538934595	0.9900003904379908	0.9995692703162754	0.053664892511426046	false
R08D7.3	0.8582137302363059	0.5318236398393055	0.9995692703162754	0.031051118908371107	false
C02F5.9	0.869658051523395	0.6171121699503377	0.9995692703162754	0.016701413011310125	false
T27F7.3	N/A	N/A	N/A	N/A	false
F55D10.1	0.8654079043097104	0.9810151373959806	0.9995692703162754	0.0483241458552559	false
C35D10.14	N/A	N/A	N/A	N/A	false
T27F7.1	N/A	N/A	N/A	N/A	false
C35D10.11	0.7006673298289664	N/A	N/A	0.22152136651256252	true
